Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
08/10/2019 16:57:33,,CASH TOP-UP,,,10.00,USD,0.25317513
09/10/2019 19:04:48,AAAA,BUY,0.05482155,182.41,10.00,USD,0.254061814
05/11/2019 08:59:44,,CASH TOP-UP,,,13.05,USD,0.261144719
05/11/2019 15:50:04,ABCD,BUY,0.04591998,284.19,13.05,USD,0.259776473
02/12/2019 15:15:56,,CASH TOP-UP,,,12.89,USD,0.25817414
02/12/2019 15:19:14,AAAA,BUY,0.06076462,212.13,12.89,USD,0.258218259
23/12/2019 08:17:10,AAAA,DIVIDEND,,,0.01,USD,0.260453001
12/01/2020 22:59:17,,CASH TOP-UP,,,13.05,USD,0.263659809
21/01/2020 16:11:24,BBBB,BUY,0.58303571,22.40,13.06,USD,0.262308621
08/02/2020 15:35:06,,CASH TOP-UP,,,12.73,USD,0.257507431
10/02/2020 14:55:23,BBBB,SELL,0.58303571,23.46,13.67,USD,0.256267355
23/03/2020 04:23:56,AAAA,DIVIDEND,,,0.02,USD,0.236490307
23/03/2020 21:45:27,,CASH TOP-UP,,,13.00,USD,0.233300905
03/04/2020 16:14:47,CCCC,BUY,2,4.51,9.02,USD,0.23542359
06/04/2020 14:45:36,DDDD,BUY,11.57142857,0.35,4.00,USD,0.236511624
06/04/2020 14:52:12,,CASH TOP-UP,,,13.50,USD,0.236324996
03/11/2020 06:24:43,F,DIVIDEND,,,0.42,USD,0.253691759
09/11/2020 19:05:04,GGGG,SELL,0.01398431,2080.90,29.10,USD,0.263396981
10/11/2020 14:30:09,IIII,BUY,4.09633507,9.55,39.12,USD,0.262791476
13/11/2020 07:08:46,KKKK,DIVIDEND,,,0.11,USD,0.263171884
16/11/2020 05:33:47,LLLL,DIVIDEND,,,2.06,USD,0.264501511
17/11/2020 16:06:14,MMMM,SELL,6.98388647,1.09,7.61,USD,0.264630583
17/11/2020 16:49:55,NNNN,SELL,5,2.00,10.00,USD,0.264305146
20/11/2020 11:26:04,OOOO,DIVIDEND,,,0.76,USD,0.265725656
20/11/2020 12:12:37,,CASH TOP-UP,,,26.50,USD,0.265870484
20/11/2020 14:30:23,PPPP,BUY,3.05164319,12.78,39.00,USD,0.265928430
22/11/2020 11:22:10,,CASH TOP-UP,,,26.25,USD,0.267972754
03/12/2020 23:08:40,,CUSTODY_FEE,,,-0.01,USD,0.271737096
